Name,Price,Type,Size,Latitude,Longitude,GPS_Text,URL
Gilsland Wood,"£65,000",Freehold,nearly 4 ¼ acres,54.9335,-2.71832,"GPS coordinates: 54.9335, -2.71832",https://www.woodlands.co.uk/buying-a-wood/cumbria/gilsland-wood
Derskelpin Wood,"£49,000",Freehold,just under 7 acres,54.9027,-4.6782,"GPS coordinates: 54.9027, -4.6782",https://www.woodlands.co.uk/buying-a-wood/southern-scotland-and-northumberland/derskelpin-wood
Annabaglish Wood,"£45,000",Freehold,over 6 ¼ acres,54.9031,-4.6837,"GPS coordinates: 54.9031, -4.6837",https://www.woodlands.co.uk/buying-a-wood/southern-scotland-and-northumberland/annabaglish-wood
Fullers Wood,"£79,000",Freehold,7 ¼ acres,55.6293,-3.0757,"GPS coordinates: 55.6293, -3.0757",https://www.woodlands.co.uk/buying-a-wood/southern-scotland-and-northumberland/fullers-wood
Dyers Wood,"£55,000",Freehold,over 3 ¾ acres.,55.6291,-3.07932,"GPS coordinates: 55.6291, -3.07932",https://www.woodlands.co.uk/buying-a-wood/southern-scotland-and-northumberland/dyers-wood
Gillings Wood,"£59,000",Freehold,over 4 ¼ acres,55.6304,-3.07839,"GPS coordinates: 55.6304, -3.07839",https://www.woodlands.co.uk/buying-a-wood/southern-scotland-and-northumberland/gillings-wood
Tuckers Wood,"£69,000",Freehold,over 5 ½ acres,55.6311,-3.07916,"GPS coordinates: 55.6311, -3.07916",https://www.woodlands.co.uk/buying-a-wood/southern-scotland-and-northumberland/tuckers-wood
Eight Mile Meadow,"£65,000",Freehold,just under 4 ¼ acres,55.8226,-3.2844,"GPS coordinates: 55.8226, -3.2844",https://www.woodlands.co.uk/buying-a-wood/southern-scotland-and-northumberland/eight-mile-meadow
Silverburn Meadow,"£55,000",Freehold,just over 3 ½ acres,55.8236,-3.28376,"GPS coordinates: 55.8236, -3.28376",https://www.woodlands.co.uk/buying-a-wood/southern-scotland-and-northumberland/silverburn-meadow
Fingal Wood,"£45,000",Freehold,over 3 ¼ acres,55.9527,-3.72525,"GPS coordinates: 55.9527, -3.72525",https://www.woodlands.co.uk/buying-a-wood/northern-scotland/fingal-wood
Kilglarry Wood,"£65,000",Freehold,nearly 4 ¾ acres,54.9494,-6.34397,"GPS coordinates: 54.9494, -6.34397",https://www.woodlands.co.uk/buying-a-wood/northern-ireland/kilglarry-wood
Buckthorn Wood,"£65,000",Freehold,almost 3½ acres,54.245,-7.558,"GPS coordinates: 54.245, -7.558",https://www.woodlands.co.uk/buying-a-wood/northern-ireland/buckthorn-wood
Gartmore Wood,"£229,000",Freehold,just under 27 acres,56.1453,-4.3611,"GPS coordinates: 56.1453, -4.3611",https://www.woodlands.co.uk/buying-a-wood/northern-scotland/gartmore-wood
Tirkeeran Wood,"£85,000",Freehold,over 4½ acres,54.937,-7.22472,"GPS coordinates: 54.937, -7.22472",https://www.woodlands.co.uk/buying-a-wood/northern-ireland/tirkeeran-wood
Netherley Wood,"£54,500",Freehold,nearly 4 ½ acres,57.0332,-2.25315,"GPS coordinates: 57.0332, -2.25315",https://www.woodlands.co.uk/buying-a-wood/northern-scotland/netherley-wood
Mungo Wood,"£75,000",Freehold,just over 4 acres,56.5056,-5.38972,"GPS coordinates: 56.5056, -5.38972",https://www.woodlands.co.uk/buying-a-wood/northern-scotland/mungo-wood
Adhamh Wood,"£75,000",Freehold,just under 4 ¼ acres.,56.5056,-5.38972,"GPS coordinates: 56.5056, -5.38972",https://www.woodlands.co.uk/buying-a-wood/northern-scotland/adhamh-wood
Tillycairn Wood,"£55,000",Freehold,about 5 acres,57.1893,-2.56793,"GPS coordinates: 57.1893, -2.56793",https://www.woodlands.co.uk/buying-a-wood/northern-scotland/tillycairn-wood
Ministers Moss Wood,"£79,000",Freehold,over 7 ¾ acres,57.1905,-2.5668,"GPS coordinates: 57.1905, -2.5668",https://www.woodlands.co.uk/buying-a-wood/northern-scotland/ministers-moss-wood
Ogilvie Wood,"£59,000",Freehold,about 4 ½ acres.,57.1914,-2.57171,"GPS coordinates: 57.1914, -2.57171",https://www.woodlands.co.uk/buying-a-wood/northern-scotland/ogilvie-wood
Garth Wood,"£59,500",Freehold,about 7 acres,57.2626,-2.21814,"GPS coordinates: 57.2626, -2.21814",https://www.woodlands.co.uk/buying-a-wood/northern-scotland/garth-wood
Breena Wood,"£45,000",Freehold,nearly 4 ¾ acres,57.2622,-2.2227,"GPS coordinates: 57.2622, -2.2227",https://www.woodlands.co.uk/buying-a-wood/northern-scotland/breena-wood
Elrick Wood,"£45,500",Freehold,nearly 4½ acres,57.2637,-2.21925,"GPS coordinates: 57.2637, -2.21925",https://www.woodlands.co.uk/buying-a-wood/northern-scotland/elrick-wood
Shackleton Wood,"£65,500",Freehold,about 6.25 acres,57.5359,-2.1444,"GPS coordinates: 57.5359, -2.1444",https://www.woodlands.co.uk/buying-a-wood/northern-scotland/shackleton-wood
Blaine Wood,"£79,000",Freehold,over 7 ½ acres,57.2902,-3.8347,"GPS coordinates: 57.2902, -3.8347",https://www.woodlands.co.uk/buying-a-wood/northern-scotland/-blaine-wood
Fraoch Wood,"£77,000",Freehold,about 8 acres,57.293,-3.8435,"GPS coordinates: 57.293, -3.8435",https://www.woodlands.co.uk/buying-a-wood/northern-scotland/fraoch-wood
Randolph Wood,"£35,500",Freehold,almost 2¾ acres,57.5015,-3.70157,"GPS coordinates: 57.5015, -3.70157",https://www.woodlands.co.uk/buying-a-wood/northern-scotland/randolph-wood
Decla Wood,"£65,000",Freehold,just over 5 ¼ acres,57.6079,-3.50615,"GPS coordinates: 57.6079, -3.50615",https://www.woodlands.co.uk/buying-a-wood/northern-scotland/decla-wood
Lundy Wood,"£65,000",Freehold,,57.6112,-3.50709,"GPS coordinates: 57.6112, -3.50709",https://www.woodlands.co.uk/buying-a-wood/northern-scotland/lundy-wood
Balgair Wood,"£215,000",Freehold,just under 36 acres,58.4694,-3.54625,"GPS coordinates: 58.4694, -3.54625",https://www.woodlands.co.uk/buying-a-wood/northern-scotland/balgair-wood
